name,discovery,description,species,distribution
Phragmipedium,Rolfe 1896,"frag-mi-PEE-dee-um (click on the name to hear it spoken)
Tribe: Cypripedieae 
Subtribe:


Similar in many ways to the other slipper orchids, the paphiopedilums, selenipediums and cypripediums Phragmipedium is a very popular genus that was established by Robert Rolfe in 1896 when he revised all the slipper orchids. Those species native to the tropical Americas were placed in either Selenipedium or Phragmipedium. Rolfe named the genus, using the Greek words phragma (fence) in reference to the division of the ovary and pedilon (slipper). As with the other slipper orchids, the species of this genus are sympodial in growth habit and form tight fans instead of pseudobulbs. All species are either epiphytic or terrestrial and grow at elevations between 1300-7200 feet (400 to 2,200 meters). Inflorescences can be up to 3 ft. (90 cm) long and can bear up to 15 flowers. The flowers themselves can measure 30 inches (75 cm) or more from the tip of the dorsal sepal to the tip of a lateral petal. The flowers, once thought to consist mainly of yellows, greens and browns, some with yellow and purplish patterns, now include orange, red (P. besseae) and even magenta (P. kovachii). Popular species include P. boissierianum, P. caudatum, P. longifolium, P. sargentianum.",The WCSP contains 23 accepted names including several varietal forms and 5 natural hybridS. (2/2020),From Mexico to Brazil and Bolivia
Platystele,Schltr. 1910,"plat-e-STEE-le (click on the name to hear it spoken)
Tribe: Epidendreae 
Subtribe: Pleurothallidinae


The genus was first described by Schlechter in 1910. The name derives from platys = broad and stele = column in reference to the broad, flat column characteristic of the genus. Platystele species have mostly tufted, short-stemmed leaves and are found in the moist, neotropical forests most commonly at moderately high altitudes 1,500 m (4,900 feet) to 2,500 m (8,200 feet) where other genera of the Pleurothallidinae are also abundant.
 ",The World Checklist of Monocotyledons recognizes 116 species. (2/2020),Widespread from Mexico to Bolivia but infrequent in Brazil. The greatest concentration of species occurs in the Andes of Colombia and Ecuador.
Pleione,D. Don 1825,"plee-OH-nee (click on the name to hear it spoken)
Tribe: Coelogyneae 
Subtribe: Coelogyninae


Pleiones bear large showy flowers that are almost oversized for these miniature plants. Unlike most other pseudobulbous orchids, Pleione has annual pseudobulbs. These easy to grow plants are referred to as “windowsill plants” in England, where they are used as houseplants. The genus was first described by David Don in 1825 based on specimens of Pleione praecox and Pleione humilis, both of which had originally been called Epidendrum by Smith. They were later transferred to Coelogyne by Lindley and in 1903 Rolfe resurrected the name Pleione. Don dedicated the genus to Pleione, the mother of Pleiades. 

Vegetatively, these sympodial terrestrial orchids are similar. They vary namely in the number of leaves and the shape and color of the pseudobulbs. The spring-flowering species (e.g., P. formosana) have one leaf while the autumn flowering species (e.g., P. praecox and P. scopulorum) have two leaves. The small pseudobulbs are ovoid to conical in shape and may be green to reddish brown. Sheaths surmounting the new growths may be green or mottled red. They are sometimes inflated (P. maculata). The lanceolate or oblanceolate leaves (up to 10 inches [25 cm] long) are borne at the apex of the new pseudobulb and have a sharp tip. The one-or two-flowered inflorescence develops at the apex of the new growth, either just as the growth is developing in the spring (P. formosana) or as the leaves turn brown in the autumn (P. praecox). The color of these 3 inch (7.5 cm) flowers is lavender-magenta, although white and yellow are also found.

The flowers are similar among the species. Sepals and petals are alike in shape and color, with the sepals a little broader. The lip is the largest and showiest floral segment and is often three lobed. There is a distinct callus on the lip which helps in identifying species. The margin of the lip may be entire or fringed. The column is long and narrow, widening near the stigmatic surface and anther cap. The apex is slightly hooded. There are four yellow pollinia, in two pairs, attached to an interesting caudicle. Species in cultivation include P. bulbocodioides, P. formosana, P. limprichtii, and P. praecox.",The WCSP currently recognizes 24 species and 8 natural hybrids. (2/2020),"Taiwan west through China to Nepal, including parts of Thailand, Myanmar, Laos and Vietnam."
Pleurothallis,Robert Brown 1813,"Plu-roe-THALL-lis (click on the name to hear it spoken)
Tribe: Epidendreae 
Subtribe: Pleurothallidinae


Pleurothallis is a conglomerate genus, a taxonomists dream (or perhaps nightmare) and in a constant state of flux. There is no simple description of Pleurothallis, as it is a huge genus comprising species from miniscule to very large in size, epiphytic to terrestrial, clumping to creeping in growth, thick or thin leaved, erect to pendent. The flowers can be delicate or thickly textured; racemes can be single flowered or many flowered, short to very long. At present, over 1,000 species have been described, classified into 27 subgenera with 25 sections (Luer). Recent genetic work suggests that Pleurothallis should be divided into approximately 17 different genera while Luer has recently suggested the creation of 49 segregates.

Pleurothallis species are found throughout the American tropics. It is easy to find trees with 5, 6, 7 or more different species on one branch! There are some species for just about any growing condition, from the warm to intermediate to cool greenhouse; from wet to dry growing areas. The one thing that brings these diverse plants together is flower size. Most Pleurothallis flowers are so small that a magnifying glass is often needed to appreciate their beauty and complexity. As with any small flowered species, it is a specimen-sized plant in full bloom that catches the eye and forces appreciation from even a die-hard Cattleya lover!

Pleurothallis was first described by Robert Brown in 1813. He named the genus from the Greeek pleuron (rib) and thallos (short, branch) in allusion to the many rib-like stems which arise in tufts in many of the species. Pleurothallis is allied to Masdevallia but the flowers are much smaller and lack the characteristic sepaline tube of Masdevallia. 

A favorite of the specialist hobbyist, some of the Pleurothallis species found in collections include: P. allenii, P. endotrachys, P. grobyi, P. glandulosa (now all three considered members of Specklinia), and P. octomerioides (now considered to by Myoxanthus octomerioides).

If you are interested in learning more, join the Pleurothallid Alliance,  an AOS affiliated specialty group.","Over 1,000 depending on the number of segregate genera recognized.",Confined to the tropical Americas
Polycycnis,Reichenbach 1855,"pol-ee-SIK-niss (click on the name to hear it spoken)
Tribe: Maxillarieae 
Subtribe: Stanhopeinae

The generic name tells it all. Derived from the Greek words polys (many) kyknos (swan), Polycycnis is a very descriptive name to describe the many delicate, swan-like flowers that grace the mostly pendulous inflorescences. Florally, these attractive species resemble Cycnoches species but differ in having hermaphroditic flowers. Vegetatively, these species ,more closely resemble Gongora species, but again there are differences in the flowers. The genus was first described by Reichenbach in 1855 who based his decision and established a new genus on the distinctive floral characteristics of this group. He also picked a very descriptive generic name that readily recognized these distinctive birdlike flowers. Vegetatively, the sympodial epiphytes of this genus are similar. The closely grouped pseudobulbs range from ovoid to almost cylindric in shape and can be up to 6 inches (15 cm) in height. Each pseudobulb is topped by a single leaf, or occasionally two leaves. The leaves have blades up to 16 inches (40 cm) long and 5 inches (12.5 cm) wide and have longitudinal folds. The few- to many-flowered inflorescences arise from the base of the pseudobulb. Most floral stems are pendulous and may be up to 24 inches (60 cm) long. The base flower color ranges from pale yellow to buff, and flowers are heavily spotted with reddish to brownish dots. Species included in this genus are: Polycycnis aurita, P. barbata, P. gratiosa, P. lehmannii, P. mucifera (type species) and P. surinamensis (synonym P. ornata).",The WCSP currently recognizes 14 species. (2/2020),"From Panama to Costa Rica to Colombia, Guyana and Peru"
Pomatocalpa,Breda 1827,"poh-mat-oh-KAL-pa (click on the name to hear it spoken)
Tribe: Vandeae 
Subtribe: Aeridinae


Breda established this genus of monopodial orchids in 1827. The generic epithet is from the Greek poma = drinking cup and kalpe = pitcher and refers to the cup-like shape of the labellum. Type species for this genus is Pomatocalpa spicatum. Even though the flowers are not large (to 1.2 cm in diameter) they usually are brightly colored. Commonly seen species are Pomatocalpa spicatum and Pomatocalpa kunstleri.",The WCSP recognizes 23 species and 4 subspecies. (2/2020),"Throughout Asia, New Guinea, northern Australia and the islands of the Pacific Ocean."
Porroglossum,Schltr. 1920,"por-roh-GLOS-sum (click on the name to hear it spoken)
Tribe: Epidendreae 
Subtribe: Pleurothallidinae


From the Greek meaning ""far, far off"" and ""tongue"", the name refers to the position of the lip, which is very distinctive in this genus. The utterly fascinating lip is hinged and has a mechanism that snaps shut when stimulated by a pollinator, thus trapping the insect to ensure that the pollinia will be removed and later transferred to the receptive surface. The lip opens after 30 minutes or so to release the insect, but also closes at night and reopens at dawn. Porroglossums have successively flowered inflorescences with petals that are small and fleshy. The plants are easy to cultivate and with their successively flowering habit are almost always in full bloom.

For more information visit the website of the Pleurothallid Alliance, an AOS affiliated specialty group.",The WCSP currently recognizes 54 species. (2/2020),"Throughout the Andean region of South America from Venezuela to Bolivia with a major concentration in Ecuador. They are found in humid localities from 1,600 m (5,200 feet) to 2,800 m (9,200 feet)."
Promenaea,Lindl.1843,"Pro-men-EYE-ah (click on the name to hear it spoken)
Tribe: Maxillariae 
Subtribe: Zygopetalinae


Various botanists list this genus as being native to the lowlands of Brazil in the intermediate to warm-growing climate. All species are diminutive and grow as epiphytes in moist forest and care should be taken not avoid allowing plants to completely dry out. Early publications mention 4-6 species, most recent 22. Intergeneric hybrids are being created with Zygopetalum, Colax, Cochleanthes, Chondrorhyncha, etc.

The two most well-known species are P. xanthina (yellow) and P. stapelioides (spotted and barred wine-red). The resulting hybrid is Promenaea Crawshayana.",Currently the WCSP recognizes 16 species and 2 varieties. (2/2020),Brazil
Prosthechea,Knowles and Westcott 1838,"pros-thee-KEY-a (click on the name to hear it spoken)
Tribe: Epidendreae 
Subtribe: Laeliinae


This is the newly resurrected genus name for the group of orchids that have been classified in the past with epidendrums, encyclias, anacheiliums and many others. This group has always been problematic in that the physical characteristics seem not to fit into nice discrete groups allowing easy classification. In 1997, Higgins placed many plants into this genus. This group of plants has a rhizome with pseudobulbs that are at least somewhat flattened. The inflorescence has a spathe at the base. The lip is attached or adnate to the column only part way and the column has three teeth at the apex. The seed capsule is three-angled or three-winged. Generally speaking, this group consists of two groups of plants. The first group is the cockleshell group, known for the non-resupinate (flowers up side down, lip uppermost.) such as Prosthechea (synonym Encyclia) cochleata. The second group includes the Mexican and Central American types such as Prosthechea (synonym Encyclia) prismatocarpa with the same plant type but resupinate flowers and bright colors.

These plants are generally very fragrant and the flowers last a long time, sometimes months. They bloom usually once a year but as the flowers last so long they seem in bloom a lot. Prosthechea cochleata blooms on a sequential inflorescence with one bloom after the other fades so it will stay in bloom for a year to 18 months on one inflorescence and seems to always be in bloom. The blooms are very resistant to pests, particularly slugs.",The World Monocot Checklist recognizes over 100 species (2/2020),"Florida, Mexico, Central American, and South America"
Psychopsis,Rafinesque 1835,"sye-COP-siss (click on the name to hear it spoken)
Tribe: Cymbidieae 
Subtribe: Oncidiinae


Psychopsis with 38 chromosomes and two pollinia grow epiphytically in wet rainforest and also dry upland forest. The pseudobulbs are tightly clustered, oval, oblong and almost round, very compressed, wrinkled, often dull red. The leaves are solitary and erect. Inflorescences are normally solitary per bulb, jointed and arched, arising from the base out of a sheath, producing a succession of flowers which last approx. 10 days, variable in color and size from inflorescence to inflorescence and from blooming to blooming. Never cut the inflorescence until it is obviously spent as old inflorescences will continue to produce flowers for many years.

The narrow, upright attenuated dorsal sepal and petals are dull to vibrant red-brown often with a narow yellow picotee or with a few yellow transverse stripes. The broad, often downswept lateral sepals are canary yellow heavily marked with irregular transverse red-brown bars. The large lip is three-lobed with a large canary yellow center, bordered by a red-brown band. In addition to the normally pigmented forms, pure yellow forms devoid of the red pigment also exist. Flowering occurs at intervals throughout the entire year and well grown plants will have many inflorescences with more than one flower per inflorescence.

In their native habitat Psychopsis prefer the trunks and branches of trees where they dry out quickly although they do not like to dry out completely and do not require a rest period. Psychopsis are intolerant of stale conditions at their roots and benefit from annual repotting, especially in bark mixes. The roots of these plants are fine and subject to salt burn if the potting medium is not regularly flushed with pure water. Because of their fat pseudobulbs, cultural problems can go undetected until significant damage has been done.","Currently the WCSP recognizes 4 species: Psychopsis: papilio, krameriana, sanderae versteegii.","Trinidad, Central & South America"
Pterostylis,Robert Brown 1810,"terr-oh-STY-lus (click on the name to hear it spoken)
Tribe: Diurideae 
Subtribe: Pterostylidinae

‘Greenhoods’, as they are popularly known in Australia and New Zealand, are small to medium sized terrestrials with subterranean tubers. Pterostylis flowers are characteristically hooded and the sensitive to the touch labellum is hinged. The genus is the largest of the Australasian terrestrials and some of the species can be difficult to distinguish. Some Pterostylis species grow in colonies while others grow individually or in scattered groups. The species that are colonial in nature are generally easily cultivated, forming specimen sized plants when provided with adequate growing conditions. The erect inflorescences usually have one to a few flowers. Due to the prominent columnar wings found in all species of the genus, Robert Brown, in 1810, used the Greek words pteron (wing) and stylis (column) in coining the generic name. Though not terribly showy when in flower, this genus is frequently found in collections in its areas of distribution. Species include: P. cucullata, P. grandiflora and P. plumose.

One of the keys to successful culture of these terrestrial orchids is recognizing their sharply deciduous nature. After growth is complete and flowering is past, the plants rapidly shed their foliage and rest dormant for months. They must not be watered during this dormant period.",The World Monocot Checklist currently recognizes more than 150 species. (2/2020),"Mostly in southern Australia; New Zealand, New Guinea and New Caledonia"
