name,discovery,description,species,distribution
Chiloschista,Lindley 1832,"kye-loh-SHIS-tuh (click on the name to hear it spoken)
Tribe: Vandeae
Subtribe: Sarcanthinae

Upon seeing Chiloschista in flower for the first time, the observer immediately marvels at how this leafless plant can produce such a multitude of flowers. In many texts, this genus is listed as a leafless epiphyte. In reality, however, some species produce leaves, although the leaves are caducous (shed at an early stage of development). This small genus was first named by John Lindley in 1832. The generic name, derived from the Greek words cheilos (lip) and schistos (cleft), describes the cleft lip found on the flowers. The genus is closely allied to Sarcochilus but separated by periodic leaflessness and differences in the lip.

For a portion of the year, these monopodial epiphytes consist of a massive root system emanating from a small, compact stem and nothing else. When leaves are present, they arise from the stem and grow to 1 to 2 inches (2.5-5 cm) long and around 0.5 inch (1 cm) wide. By flowering time, the leaves are usually gone. The inflorescences are usually pendent and bear a few to many flowers. The small flowers are most attractive and flower color varies from creamy white to greenish to deep brown-red. Species from this genus include Chiloschista lunifera and C. usneoides.", ,The World Monocot Checklist currently recognizes 19 species. (2007)
Chondrorhyncha,Lindley 1846,"con-dro-RINK-uh (click on the name to hear it spoken)
Tribe: Maxillarieae
Subtribe: Zygopetalinae

Confusion in this genus has lead to the same species being sold as both Chondrorhyncha and Cochleanthes. Actually, these two genera are easily separated by their floral characteristics. Chondrorhyncha has an elongate column foot and basal callus on the lip while Cochleanthes has a short claw at the base of the column and a lunate (crescent moon-shaped) or radiate callus on the lip. Chondrorhyncha was first described by Lindley in 1846. He coined the generic name from two Greek words chronios [xbonseao] (cartilage) and rhynchus (beak or snout) to describe the beaklike rostellum found in these flowers.

Vegetatively, these sympodial epiphytes are similar to their close relatives (such as Kefersteinia and Huntleya). The plants comprise from one to several closely arranged, loosely irregular fanlike growths connected by a short horizontal rhizome. Each cluster consists of usually four to five leaves up to 12 inches (30 cm) long. The soft leaves, which sometimes have undulate margins, clasp at their bases. The single flower arises from the axil of the leaf on a slender peduncle with up to four light green sheaths. Flowers are 1 to1-1/2 inches (2.5-3.7 cm) across, usually whitish to ivory to lemon yellow with the lips often darker and adorned with varying degrees of reddish to almost chocolate markings or spots. Species cultivated include Chdrh. bicolor (now Chondroscaphe bicolor), Chdrh. flaveola (now Chondroscaphe fimbriata), Chdrh. lendyana, Chdrh. rosea and Chdrh. reichenbachiana (now Benzingia reichenbachiana).", ,"The World Monocot Checklist currently recognizes 27. Historically, the genus has had up to 35 species however many of them have been moved to Chondroscaphe and Benzingia. (8/2007)"
Christensonia,Haager 1993 (now Vanda R. Brown),"criss-ten-SO-nee-ah (click on the name to hear it spoken)
Tribe: Vandeae
Subtribe: Aeridinae

It is interesting how some orchids have to travel the globe to find their identity. It is even more unusual when it happens during our generation. This monotypic genus is represented only by Christensonia vietnamica. The plants were discovered by the Czech botanist Jiri Haager during a geological expedition in southern Vietnam. The genus was created in 1993 and named after Eric Christenson in recognition for his work with Vandaceous orchids of the subtribe Aeridinae. While this species shares characteristics with both Aerides and Rhynchostylis, with the publication of Genera Orchidacearum volume 6, it is now included in the genus Vanda. Affected hybrid names are explained on this website here.. This is a lowland species found around 100m elevation and requires warm temperatures. 

Michael Coronado of RF Orchids offers the cultural suggestions listed below.",The WCPS nos includes this single species in the genus Vanda.,Vietnam
Chysis,Lindley 1837,"KYE-sis (click on the name to hear it spoken)
Tribe: Arethuseae
Subtribe: Chysiinae

All species are epiphytes of the Neotropics with club-shaped, pendulous pseudobulbs and plicate leaves. The showy racemes of large flowers with waxy lips appear with new growth in the spring. Specimen plants with dozens of flowers are unforgettable sights. Chysis aurea, C. bractescens, and C. tricostata are most often seen in cultivation. The type species is C. aurea Lindl.","Up to six, depending on whether a number of taxa are treated as species or simply as varieties of C. aurea. More DNA sequence data are needed in a modern monograph of the genus. The World Moocot Checklist currently recognizes 10 species (June 2009)",Mexico to the Peruvian Andes 
Cirrhaea,Lindley 1825,"sir-RYE-uh (click on the name to hear it spoken)
Tribe: Maxillarieae
Subtribe: Stanhopeinae

Cirrhaea is an interesting genus and a joy to behold when the plants are coming into flower. As the inflorescence elongates and the buds develop and mature, the peduncles twist just below the ovary to assure all the flowers face outward. These unique twisted peduncles add an additional interest to the inflorescence in this genus. At maturity all the flowers open on the same day and all drop off simultaneously. Fortunately the flowers do remain open for a week to ten days. Cirrhaea has another plus in that its flowers are very attractive. Cirrhaea is a small genus first described by Lindley in 1825. He derived the generic name from the Latin word cirrus (tendril), undoubtedly to describe the slender, prolonged, almost tendril-like rostellum. Cirrhaea is closely related to Gongora and Polycycnis but differs in lip and column features.

Vegetatively, these sympodial epiphytic plants are similar. They form tight clusters of pseudobulbs, which are either ovoid and ribbed or almost quadrangular. Each pseudobulb is topped by a single, usually erect, petioled, soft, pleated leaf, with the individual leaf blades up to 20 inches (50 cm) long. Several small leafy bracts subtend the developing pseudobulbs, becoming papery and splitting as the bulbs mature. The pendent inflorescence arises from the base of the pseudobulb and bears from a few to many flowers up to 2 inches (5 cm) in diameter. The base colors of the flowers are green to red-brown with some having purple markings. The flowers have a delicate look but are of good substance. Species in cultivation include Cirrhaea dependens and C. fuscolutea (synonym C. saccata).", ,The World Monocot Checklist currently recognizes 7 species (7/2009)
Cischweinfia,R. Dressler & N.H. Williams 1970,"ci-SCHWINE-fee-a (click on the name to hear it spoken)
Tribe: Maxillarieae
Subtribe: Oncidiinae

Another little gem of a miniature, or at least small, orchid genera with interesting flowers that you can actually see! These Oncidium relatives have apple green attractive flattened oval pseudobulbs and attractive broad grass-like foliage and multiple profusely flowered inflorescences that arise from the base of the pseudobulbs. The one inch flowers have narrow sepals and petals with a broad full lip that is fused to the column and forms a small nectary under the ovary. Flower color varies with the species but Cischweinfia dasyandra is particularly attractive with its pink/violet infused lip contrasting with light green sepals and petals. Plants remain compact, under 8"" tall but grow rapidly to form lovely specimen plants in no time. Flowers emerge in the spring and summer. Cultivated species are; colombiana, dasyandra, parva, platychila, pusilla, rostrata, suarezii", ,The World Monocot Checklist contains 12 accepted names (9/2007).
Clowesia,Lindley 1848,"kloh-WES-e-ah (click on the name to hear it spoken)
Tribe: Cymbidieae
Subtribe: Catasetinae

The genus Clowesia was published by John Lindley based on Clowesia rosea in 1848. Reichenbach transferred the species to Catasetum in 1872 and so it remained until 1975. At that time C. H. Dodson published his revision in which he removed from Catasetum, eight species that bore bisexual or perfect flowers. He resurrected the genus Clowesia with C. rosea as its type from the original description and transferred 4 other species from Catasetum to Clowesia. The remaining three species from Catasetum with perfect or bisexual flowers were placed in the newly established genus Dressleria. Clowesia are found at altitudes ranging from 200 to 1500 meters. It is an epiphytic genus of sympodial orchids that are found in warm, moist open canopy tropical trees, except Clowesia glaucoglossa found in one particular species of palm in one small area of southwest Mexico. Pseudobulbs are somewhat fusiform to conical in shape with thin veined leaves during the growth season. Like Catasetum and Cycnoches, the bulbs grow to maturity in 6 to 7 months and lose their leaves in a rest period. Some of the species bloom on new maturing growths, while others such as Clowesia rosea bloom from completely leafless pseudobulbs. The inflorescences emerge from the base of the pseudobulbs and are sharply pendent unlike the more arching, pendant inflorescences of Catasetum. There are two particularly beautiful and fragrant hybrids, Clowesia (Catasetum) Grace Dunn and Clowesia (Catasetum) Rebecca Northen. Because the International Orchid Registration Authority and the RHS do not recognize the genus Clowesia as valid, all Clowesia species and hybrids are still listed as Catasetum. The American Orchid Society judging system accepts Clowesia as a valid genus for species, so awards are now listed as Clowesia although the older awards are still listed under Catasetum. Because of the rules of registration, the A.O.S still lists the many Clowesia hybrids under Catasetum or the intergeneric hybrids using Catasetum. For example a hybrid of Clowesia and Cycnoches would be registered as Catanoches.",The World Monocot Checklist contains 8 accepted names (9/2007).,"Mexico, 5 species; one species, Clowesia warscewiczii, from Central America to Ecuador and Venezuela, one species Clowesia amazonica from the Brazilian Amazon and Ecuador "
Cochlioda,Lindley 1853,"cock–lee–OH–da (click on the name to hear it spoken)
Tribe: Oncidieae
Subtribe: Oncidiinae

The genus was established in 1853 by John Lindley (1799 – 1865). Its name is derived from the Greek word “kochlioides” for “spiral”. The type species is Cda. densiflora Lindl. The genus consists of about six epiphytic plants inhabiting montane cloud forests in Bolivia, Ecuador, and Peru at altitudes between 1700 m and 3300 m. The small plants impress with their medium length, rarely branched inflorescences bearing numerous flowers whose brilliant colors range from yellow and orange to lilac, red and purple. The flower shape varies from full and round to rather open with narrow segments.

Cochlioda noezliana, in combination with Odontoglossum, is important as the source of red coloration in the production of Odontioda hybrids", ,The eight species are now in the genus Oncidium.
Coelia,Lindley 1830,"SEE-lee-a (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Coeliinae

Four species – C. macrostachya, C. bella, C. guatemalensis, and C. densiflora – were formerly included in the genus Bothriochilus. Morphological and molecular evidence now places all species in the earlier Lindley name, Coelia, with C. triptera (Sm.) G.Don ex Steud. as the type species.

All species are epiphytes, lithophytes or terrestrials in the Neotropics and have ovoid to obpyriform pseudobulbs enclosed in papery sheaths, topped by subplicate and subcoriaceous leaves. The showy, white to rose-colored flowers in erect racemes arise from the base of the pseudobulbs. 

Coelia triptera (flowering February-April) and C. macrostachya (flowering May-August) are most often available. Occasionally C. bella is offered for sale.", ,The World Monocot Checklist contains 6 accepted names (9/2007).
Coelogyne,Lindley 1824,"see-LODGE-eh-nee (click on the name to hear it spoken)
Tribe: Coelogyneae
Subtribe: Coelogyninae

This popular genus has pseudobulbs with one or two pleated leaves. These pseudobulbs vary in size and are mostly of an ovoid shape and can be closely or widely spaced on the rhizome. The leaves may also be closely spaced or far apart. The genus was described by Lindley in 1825. In reference to the hollow stigmatic area on the column, he named the genus from two Greek words: koilos (hollow) and gyne (female). The species of Coelogyne are popular in collections due to their mostly fragrant, free flowering, showy inflorescences. Those most often found include C. cristata, C. speciosa, C. fimbriata, C. massangeana and C. dayana.

Barbara Gravendeel of the University of Leiden, Netherlands published a reorganization of Coelogyne in 2000. She reports “Most species are epiphytes, occurring in tropical lowland and montane rainforests. In open, humid environments, some species may also grow as lithophytes or even as terrestrial plants. Most species are characterized by medium sized to large flowers with a sweet scent and are pollinated by bees, beetles or wasps. The number of recent artificial hybrids published, indicates the growing commercial interest in this group.” The type species for the genus is C. cristata. ",The World Monocot Checklist contains more than 200 accepted names (9/2007).,"Throughout Southeast Asia, with main centers of distribution in Borneo, Sumatra and the Himalayas. "
Comparettia,Poeppig & Endlicher 1836,"kom-puh-RET-ee-uh (click on the name to hear it spoken)
Tribe: Maxillarieae
Subtribe: Oncidiinae

The small plants of Comparettia have slender spurs on their flowers that distinguish them from the other genera included in the Oncidiinae. These epiphytic plants often grow on guava trees at intermediate elevations in the Andes. The delicate inflorescences arch and bear delicate showy flowers that usually number five to seven. Color ranges from rose-purple, red, orange to yellow and some of the flowers can be spotted with magenta or white. The type species, C. falcata, is widely distributed from Mexico to Peru, Venezuela and the West Indies. The genus was described in 1835 and named in honor of Andreo Comparetti, an Italian professor of Botany. Not common horticulturally, C. falcata, C. speciosa and C. coccinea can sometimes be found in specialist collections.", ,"The World Monocot Checklist currently recognizes 13 species, two with several named botanical varieties and one natural hybrid. (8/2007)"
Constantia,Barbosa Rodrigues 1877,"kon-STANT-ee-ah (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Laeliinae

Only four to seven species of this rare genus are known to date and all are endemic to southern Brazil. Epiphytic in nature, Constantia is somewhat related to Sophronitis. The minute, very tightly arranged pseudobulbs are bifoliate and usually grow on the branches of Vellozia bushes. C. cipoënsis is occasionally encountered at the Redland Festival in South Florida.", ,The World Monocot Checklist currently recognizes 6 species. (7/2009)
Coryanthes,Hooker 1831,"ko-ree-AN-theez (click on the name to hear it spoken)
Tribe: Maxillarieae
Subtribe: Stanhopeinae

In nature, these orchids are encountered in so-called ant gardens. The symbiotic occurences provides benefits for both; ants get nectar from extrafloral nectaries and can use the root ball for construction of their nests, the Coryanthes plant is protected and fertilized by the ants. The pollination biology is also very fascinating: trying to collect fragrance compounds below the upper part (hypochile) of the lip, the male euglossine bee falls in the liquid filled bucket of the apical part (epichile). It cannot escape flying because its wings are wet. The only way is to climb up an island (callus of lip) and to pass a tunnel formed by the tip of the lip and the column. Doing this the flower gets pollinated or glues the pollinarium on the bee. The whole passage is very hard for the bee and lasts about half an hour. The genus could be divided into to sections: Coryanthes with a smooth mesochile (middle part of the lip) and Lamellunguis with warts or lamellae on it. Most species have pendulous inflorescences, some of them have upright ones. Coryanthes has the heaviest flowers in orchidaceae, the biggest one C. bruchmuelleri have a weight of more than 100g.", ,The World Monocot Checklist contains 49 accepted names (9/2007).
Cuitlauzina,La Llave and J. Lexarza 1824,"kweet-law-ZEE-nah (click on the name to hear it spoken)
Tribe: Maxillarieae
Subtribe: Oncidiinae

This was the name when originally described by P. La Llave and J. Lexarza in 1824. James Bateman transferred it to Odontoglossum in 1874 where it was known as Odontoglossum citrosmum Lind., and, because of the pendulous inflorescence, later became known as Odontoglossum pendulum. In 1975, Halbinger transferred it back to Cuitlauzina as a monotypic species.

When I first acquired this plant in 1985 it was called Odontoglossum citrosmum, and I tried to grow it like my other odontoglossums. It grew very well but never flowered. I then read about its habitat, and changed its culture, following which there was a dramatic change in flower production. Watering is the critical aspect of culture if flowers are to be produced. Starting with flowering, usually in June, this plant is watered often enough to keep it constantly moist, and this may be every day in hot weather. Watering is continued until new growth, which usually starts in December or the first of January, commences. The tendency is to continue watering with the onset of new growth, but if one does there will be no initiation of an inflorescence. Stop all watering with the beginning of new growth or by the first of the new year. Inflorescences usually start in April-May from the emerging new growths, and if one waters then, the flower buds will not develop; after the buds develop, if one waters, the buds will usually abort. Resume watering after the flowers start to open-usually in June. The inflorescences grow straight up for three to four inches and then make an abrupt turn downward and grow straight down for 12 to 18 inches with the flowers arranged around the distal third of the inflorescence. With this amount of drying the mature pseudobulbs become rather crenated even in an environment of high humidity; however, after resuming watering the pseudobulbs plump up after 3-4 months. The new growth will mature between the end of flowering and the end of the year, when new growth will again appear. (see below).", ,The World Monocot Checklist currently contains 5 accepted names (9/2007).
Cyclopogon,Presl 1827,"si-klo-PO-gahn (click on the name to hear it spoken)
Tribe: Cranichideae
Subtribe: Spiranthinae

Cyclopogon was first described in 1827 by K.B. Presl. He coined the generic name from the Greek kyklos (circle) and pogon (beard) an allusion to the fine sepals that resemble a circle of beards. Subsequently, many botanists included Cyclopogon in Spiranthes until 1920 when Schlechter revised the Spiranthinae and determined Cyclopogon a separate genus. 

These small to medium sized plants are terrestrial in nature and have short fleshy roots. The many flowers are mostly greenish or green and white. The type species is C. ovalifolium", ,The World Monocot Checklist contains 80 accepted names (9/2007).
Cycnoches,Lindley 1832,"sik-NO-keys (click on the name to hear it spoken)
Tribe: Cymbidieae
Subtribe: Catasetinae

Cycnoches is an epiphytic genus of sympodial orchids that are usually found in warm, moist, open canopy tropical trees. The altitude can range up to 1500 meters depending on the latitude of the location. Pseudobulbs are spindle-shaped with multiple nodes and three to seven pairs of thin, veined leaves. The pendulous inflorescences arise from the upper nodes of the pseudobulb. Cycnoches, like orchids of its sister genus Catasetum, are unique among orchids in that they bear separate male and female flowers with the occasional appearance of intermediate, hermaphroditic forms. The column structure is the surest method of determining the sex of flowers. The male column is long, curved, and thin. It bears the pollinia prominently at the tip. The female column is relatively short and bearing curved hook-like structures on each side of the tip. The stigma of the female column is found inside the tip of the column. here are two different forms of male flowers among the cycnoches. One group, the section Cycnoches, bears male and female flowers that closely resemble each other except for the column structure. The section Heteranthae bears male flowers that are radically different from the female flowers. The female flowers of section Heteranthae resemble the female flowers of section Cycnoches except that they are normally smaller. The male flowers of section Heteranthae are small with a disk-shaped lip that has from 5 to 14 projections or ""fingers"" on it.  Cycnoches are very fragrant with a generally complex chemical structure that distinguishes the species to their pollinators among the Euglossine bees. Like the other members of the Catasetinae, cycnoches can produce new growths from almost any of the nodes of the pseudobulb. Cycnoches are seasonal growers. The new growths are produced and rapidly develop to maturity in about six months when they produce their flowers. After flowering, the leaves are frequently dropped and a dry rest period follows before new growth starts again. The genus name comes from two Greek words that mean swan and neck. The type species is C. loddigesii described in 1832 by John Lindley. In addition to this species, other popular species are Cycnoches chlorochilon, C. haagii, C. pentadactylon, C. barthiorum.
 ","Currently 8 in section Cycnoches, 25-28 in section Heteranthae with one subspecies. The World Monocot Checklist currently contains 39 accepted names (July 2009)",Tropical America from southern Mexico to southern Brazil and Bolivia.
Cymbidiella,Rolfe 1918,"sim-bid-ee-EL-ah (click on the name to hear it spoken)
Tribe: Cymbidieae
Subtribe: Cyrtopodiinae

The name Cymbidiella is a diminutive of Cymbidium due to its superficial resemblance. Cymbidiella is allied to Cymbidium and was long known in horticulture as Cymbidium although it is closer in its affinity to Eulophiella, This genus is characterized by large, terrestrial or epiphytic plants that are robust in nature. Their fan-shaped leaves and pale green flowers with purplish-black markings and three lobed lip form a striking combination. The pseudobulbs are elongated and present on short to long rhizomes. The flowers of Cymbidiella are long lasting and very spectacular. Most commonly grown is Cymbidiella pardalina (syn. rhodochila).", ,The World Monocot Checklist currently recognizes 3 species (July 2009).
