name,discovery,description,species,distribution
Den. Sec. Cuthbertsonia,Schltr.,"cuth-bert-SEWN-e-uh (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Species in this Section are included by some taxonomists in Section Oxyglossum and are similar in appearance to Section Calyptrochilus, but with shorter stems. Species may be identified by upturned sidelobes of the lip, which is blunt at the apex. The small plants have short, thick pseudobulbs and few leaves at the apex. Flowers are large for the plant size and long-lasting. Colors are variable and bright with one to two flowers on each inflorescence. The species grow in cooler climates at generally higher alpine habitats where they are exposed to strong air movement and do not tolorate lowland, tropical conditions. Den. laevifolium and Den. prasinum are a little more warmth tolerant than the popular Den. cuthbertsonii, but all species in this section are intolerant of long, hot, dry conditions.

Regarding culture: The data in the table below are averages for the more common species listed herein. For growing data for specific species, literature, such as Reference 1& 2, are recommended.

Derivation: Named for W. R. Cuthbertson, an Australian surveyor who organized expeditions to New Guinea circa 1880's.","A small Section of three species in New Guinea, including Vanuatu, and Fiji: Den. cuthbertsonii, Den. laevifolium, Den. prasinum (Fiji)","New Guinea (2 species) and Fiji (1 species) 
 "
Den. Sec. Dendrobium,Swartz,"den-DRO-bee-um (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

This is the type section for the genus and includes Dendrobium moniliforme, the type species. The Section Dendrobium is related to Sections Calcarifera, Pedilonum and Formosae. Most of the plants of this section are epiphytes that are found in low to moderate elevations in areas that have a very distinct dry seasons.

The plants often have club-shaped pseudobulbs with leaves along the upper two-thirds. Usually deciduous, these leaves will often fall off after a year and these bare canes will produce flowers, usually one to three, at nodes along the canes during the dry season. The flowers are often large and showy and sometimes fragrant, such as Den. anosmum (syn. superbum) which has a strong raspberry scent. In general, these species require a cool dry rest in order to flower well.

These dendrobiums are often referred to as ""soft cane"" species and many are very popular in cultivation.

Commonly encountered species include: **-***D. moniliforme, *-**D. nobile,*-** D. linawianum, **-***D. falconeri, **D. wardianum, **D. findlayanum, *-**D. parishii, **-***D. devonianum, *D. primulinum, *-**D. aphyllum (syn. D. pierardii), *-**D. anosmum (syn. D. superbum), D. tortile, D. signatum, D. *-**crystallinum, **-***D. crepidatum, D. lituiflorum, D. amoenum, *D. loddigesii, D. senile, D. dixanthum, D. heterocarpum, **D. chrysanthum, D. ochreatum, D. albosanguineum, *D. friedericksianum, **D. unicum,* D. pulchellum, *-**D. moschatum,*-**-*** D. fimbriatum, and **D. gibsonii

*= warm. **= intermediate, ***=cool

The cultural guidelines as presented in the table below are general. For specific cultural guidelines, it is recommended you consult the references listed below.",This is a large section of perhaps 50-60 species.,"India to New Guinea and Australia in the east and Japan and Korea to the north. The center of distribution lies in the area from India to Indochina including China and Thailand. 
 "
Den. Sec. Dendrocoryne,Lindl,"den-DRO-cor-nee (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Some of the plants in this section are among the most cultivated in Australia, and throughout the world. Dendrobium kingianum< is my personal favorite of all the orchids. It is an attractive, neat plant, which produces an array of beautiful, long lasting, fragrant flowers in colors of white, white with colored lip, pale yellow, and splash, and plain petal flowers in shades of mauve, pink, and purple.

Notes on culture:
In Australia plants from this section are frequently grown in saucers. I use a plastic, azalea type pot, and a bark mix consisting of seven parts of 50/50 medium and fine fir bark, to which is added one part each of charcoal, coarse perlite, chunky peat, and, if available, medium tree fern.

I try to keep the plants tight in the pot, and this may require potting up every year. When potting up, I do not disturb the roots any more than necessary. If repotting is needed this is done after flowering, and before new growth starts. These are neat plants and need very little grooming. Like all dendrobiums these will form keikis, and this is variable and is a function of genetics and has little if anything to do with culture. The current year's keikis should be left on the plant as they will contribute to flower production. After flowering, however, all keikis should be removed as keikis will form keikis and the keikis will form keikis and eventually there will be a veritable weed patch. At the time of removal there should be adequate roots so that the keikis may be potted up, and they are interesting in that most will produce a new growth, perhaps another keiki, and the following season all may flower, i.e. the original keiki, the new growth, and the new keiki. Some keikis, however, remain small and are slow to develop roots, those from 'Karl Marx', for example, and when removed behave like seedlings out of flask and may need 3-5 years before flowering. A few inflorescences will start out in the normal way, but will develop a bulbous base like a new growth, and develop roots, but flower without any leaves forming. Some, but not all of these can be removed and potted up like keikis and will put out new growth.
 ","Species in this Section include: Dendrobium adae, D. aemulum, D. callitopophyllum, D. falcorostrum, D. finniganense, D. fleckeri, D. gracilicaoule, D. jonesii, D. kingianum, D. moorei, D. speciosum 11. For Discussion: Dendrobium kingianum Bidwill, Dendrobium jonesii Rendle, The Natural Hybrid-Dendrobium x delicatum F.M.Bail","New South Wales and Queensland On The East coast of Australia 
 "
Den. Sec. Dichopus,(Blume) Schltr.,"Dye-KOP-us (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

A single species which grows on tips of small branches in lowland habitats, including mangroves, adjacent rainforests and other coastal vegetation. It can be found on tufts of wet sphagnum moss, sedges, and ferns near freshwater lagoons. It was at one time transferred to the Genus Grastidium, but is generally regarded as separate by most taxonomists. Kew: World Checklist has the single species, Den. insigne, within Genus Dendrobium and, therefore, most appropriately within this single species Section Dichopus. The section is identified by a large, moveable appendage which splits off the column from the base of the stigma. It has larger seed and a larger seed capsule than species in the Genus Grastidium.
 ","A small Section of only one species, Den. insigne.","From lowland habitats of New guinea and neighboring islands, including the Solomons and Ambon. "
Den. Sec. Distichophyllum,Hooker f.,"di-stik-o-PHIL-lum (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

This is a section of dendrobiums that are related to the Genus Grastidium. Most of the plants occur in low to moderate altitudes in areas of year-around rainfall. The plants usually have long, slender stems with leaves in two ranks along the length of the stem. Flowers are small and are single or in pairs from the leaf axils. Flowers have a prominent mentum with a three-lobed lip and reflexed petals and sepals.

Den. piranha is the largest flowered member of the section. Named for its sinister-looking flowers which look like an Amazonian piranha fish with its jaws open and calli that looks like sharply pointed teeth.

These species are wide spread throughout Southeast Asia and Borneo. The data in the culture table below are averages. For growing data for specific species, literature, such as Reference 1 & 2, are recommended. For example, most of these species are grown warm to intermediate, however, Den. lamrianum is from montane rainforests on Mt. Kinabalu and should be grown cool with moist, good air flow. Derivation: The leaves are aligned in two rows or ""distichous"".", ,"Section has approx. 35 species, including: Den. austrocaledonicum, Den. bifarium, Den. connatum, Den. corrugatilobum, Den. deltatum, Den. ellipsophyllum, Den. hosei, Den. lamrianum, Den. maraiparense, Den. melanostictum, Den. metachilinum, Den. nutans, Den. oligophyllum, Den. olivaceum, Den. pahangense, Den. pandaneti, Den. piranha, Den. rupicola, Den. sandsii, Den. striatiflorum, Den. trigonellodorum, Den. uniflorum"
Den. Sec. Dolichocentrum,Schlechter,"do-lik-o-CEN-trum (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Dendrobium furcatum grows in montane rainforests in areas with year-round rainfall. It is a medium sized, pendulous epiphyte sometimes found in coffee plantations on older trees. The flowers are large and white with a long spur formed from the sepals and are formed on short inflorescences.

Derivation: dolichos = long; kentron = spur. Named for the long spur on the sepals.","A small Section of only one species, Den. furcatum. The World Monocot Checklist also includes Den. superans.","From Northeast Sulawesi. 
 "
Den. Sec. Eleutheroglossum,Schlechter 2002,"i-lu-the-ro-GLOS-sum (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

This is a small group of species of low to moderate elevations growing as epiphytes or lithophytes in open forests or less dense rainforests. The section appears to be closely related to Sections Spatulata and Phalaenanthe. Plants are small to medium sized with club-shaped pseudobulbs. A few small flowers grow from near the apex of stem and are usually yellow with maroon or purple markings. The lip is three-lobed with a cleft chin at the apex and there is a prominent incurved mentum. The lateral sepals are prominent and held up like wings (or ears).

Derivation: eleuther meaning free or separated and glossum meaning tongue (or lip).

Culture: The data in the table below are averages. For growing data for specific species, literature, such as Reference 1 & 2, are recommended. Den. fellowsii is difficult to grow; recommend carefully following recommendations in Ref 1 & 2 to be successful with these dendrobiums.","The Section has 4 species: Den. closterium, Den. fellowsii , Den. ngoyense, Den. poissonianum",From New Caledonia (3) and Northeastern Australia (1- Den. fellowsii) 
Den. Sec. Eriopexis,(Schltr) Brieger,"ear-ee-o-pek-sis (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

A small group of species that are either erect or pendulous epiphytes. The group is endemic to New Guinea and grow at moderate altitudes in cloud forests on moss-covered branches. Laverack, et al (Reference 1) consider this a separate Genus; however, the Kew Checklist of Monocots (Reference 6) does not recognize this as a distinct genus. The species are closely related to the Genus Grastidium and differ only in plant habit and the extended column foot. The stems are broad and leaf-like; leaves in two-ranks along the stems with prominent, flattened sheaths. Flowers are in pairs, usually white, large and fleshy. Flowers last less than one day. Lip is tri-lobed and column foot is elongated and forms a mentum.

Derivation: Erion = wool and pexis = fastened tight; name refer to the hairs or warts on the lip.

Culture: The data listed below are averages. For growing data for specific species, literature, such as Reference 1 & 2, are recommended.","The Section has about 6-7 species:*Den. eriopexis,*Den. subpetiolatum,*Den. globiflorum, **Den. inflatum, **Den. hellerianum, **Den.. quinquelobata, ***Den. acanthephippiiflora","New Guinea
 "
Den. Sec. Euphlebium,Schlechter 1981,"yoo-FLEE-bee-um (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: : Dendrobiinae

These species occur at low to moderate altitudes with year-round rainfall. They are epiphytes and grow low on mossy tree trunks. The pseudobulbs of these plants are club-shaped, somewhat squared in cross-section, and are rounded towards the base. The stems have a number of internodes with few or no sheaths. The plants have one to three leaves at the apex. The flowers are produced singly or in pairs from depressed nodes below the leaves. They are large, fleshy and short lived.

Derivation: ""Beautiful veins"" from eu meaning good or beautiful and phlebis meaning vein.

Culture: The culture in the data below are averages. For growing data for specific species, literature, such as Reference 1 & 2, are recommended. Note: Plants seem to flower 7-14 days after rainstorms drop the temperatures about 10 degrees during the day.
 ","The World Monocot Checklist recognizes 5 species: *Den. lacteum,*Den. amboinense, **Den. spurium,**Den. coeloglossum, *Den. halmaheirense.","Peninsular Malaysia, Philippines, Borneo to New Guinea
 "
Den. Sec. Formosae,Bentham and Hooker,"for-mow-SAY (click on the name to hear it spoken)
Tribe: Dendrobieae
Subtribe: Dendrobiinae

The sectional name Formosae was proposed by Bentham and Hooker and refers to the beautiful flowers. This section is also known as Nigrohirsutae and this name refers to the black hairs that are found on the leaf sheaths of a number of the species. Some of the most spectacular of all orchid species are members of this section. The flowers are generally large, usually white with various colors in the labellum, but recently a number of green flowered species have made their way into cultivation. In spite of the thin texture of the blooms they are usually long lasting. Commonly seen species are Dendrobium bellatulum, Den. dearei, Den. formosum, Den. infundibulum and Den. sanderae.", ,"Approximately 30 species that include: Den. formosum, Den. infundibulum, Den. cruentum, Den. trigonopus, Den. bellatulum, Den. christyanum (syn. Den. margaritaceum), Den. dearei, Den. sanderae, Den. schuetzei, and Den. spectatissimum."
Den. Sec. Fytchianthe,Schltr.,"fich-ee-AHN-thee (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

This Section is closely related to Stachyobium, but with larger flowers. It is in Subgenus Dendrobium, which has plants with leaf sheaths and stems that are fleshy for their entire length. The stems are mostly slender but swollen at the base with leaves in two ranks along most of the length. This small group of species becomes completely deciduous before they produce flowers. Inflorescences are erect and occur from the top of the upright pseudobulbs. The plants are epiphytes occuring in low to moderate altitudes in areas that have a seasonal climate. The numerous flowers are large and very attractive with wide petals and a conspicuous 3-lobed lip that is broad, flat and fimbriated at the base.

Culture: The culture in the data below are averages. For cultural recommendations on specific species, literature, such as Reference 1 & 2, is strongly encouraged.
 ","4-5 species. *Den. barbatulum, Den. barbatum, Den. fytcheanum, *Den. ovatum, Den. wightii","India, Sri Lanka, Myanmar
 "
Den. Sec. Herpetophytum,Schlechter 1981,"her-pe-to-FI-tum (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

This section is also spelled Herpethophytum in Reference 1, as is the species Den. herpetophytum (Den. herpthophytum). The spelling of the Section and species in this document agrees with the Royal Botanic Gardens Checklist (Reference 5). These plants are mostly epiphytes found in moderate altitudes and grow in dense moss covered trees in cloud forests with year-round rainfall. The plants are small, creeping rhizomes with branched, wiry stems and small leaves along the length. The leaves form sheaths on the stems. This Section is closely related to Section Monanthos and is distinguished by the creeping plant habit and very small flowers, which have lateral sepals fused to form spurs which enclose the columns. The flowers are non-resupinate and last less than a day.

Culture: The culture in the data below are averages. For growing data for specific species, literature, such as Reference 1 & 2, are recommended.", ,"The Section has about 14 species: *Den. appendicula,*Den. decumbens,**Den. millarae,*Den. disoides,**Den. glossorhynchoides,***Den. hippocrepiferum,*Den. scopula,**Den. nigricans,*Den. oxychilum,***Den. vanroemeri (not recognized by Kew)"
Den. Sec. Inobulbum,(Schltr.) Schltr. & Kraenzl 1910,"eye-noe-BUL-bum (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

This Section appears to have two different spellings: Inobulbum and Inobulbon. I am using Inbulbum, which agrees with Lavarack (Ref.1) and the Kew Monocot List (Ref. 4). Lavarack, et.al. have elevated this Section to generic status, however, I have kept it as a Section of Dendrobium to agree with the Royal Botanic Gardens, Kew Monocot List. Section Inobulbum is in Subgenus Athecebium, which has plants with no distinct leaf sheaths on the stems. The plants are closely related to Section Tetrodon. Plants of this Section occur in rainforests in low to moderate altitudes in areas with high year-round humidities. Pseudobulbs are short and spindle-shaped with nodes that have rings of rigid hairs. Species have 2 to 3 leaves at the apex of the pseudobulbs. Flowers are on a long inflorescence. The inflorescences have numerous flowers, with 80 or more on an inflorescence. The lip is 3-lobed.

Culture: The culture in the data below are averages. For cultural recommendations for specific species, literature, such as Reference 1 & 2, is strongly encouraged.","The World Monocot Checklist recognizes 2 species: Den. munificum, **Den. muricatum.

*Inobulbum layardii, listed by Lavarack in Ref. 1, is considered synonymous with Bulb longiflorum Thouars. in Kew Monocot List.","New Caledonia
 "
Den. Sec. Kinetochilus,Schlechter 1981,"ki-net-o-KI-lus (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Plants in this section grow as epiphytes or lithophytes at moderate altitudes (700 to 1200 meters) in mist/rain forests with year-round high humidity and fairly low light levels. The Section is most closely related to Section Macrocladium and Genus Grastidium. This section is in Subgenus Dendrobium, which contains plants with leaves born on a sheathing base and stems fleshy for the entire length. The stems are long and slender with numerous aerial plantlets in several of the species. Inflorescences have one to three or three to nine (Den. crassicaule) small flowers with a moveable, undivided lip similar to Bulbophyllum. Flowers either self-pollinate and do not open at all (Den cleistogamum) or always remain fairly closed.

Culture: The culture in the data below are averages. For growing data for specific species, literature, such as Reference 1 & 2, are recommended.","The World Monocot Checklist recognizes 3 species in the Section: Den. cleistogamum, Den. pectinatum, Den. crassicaule","New Caledonia
 "
Den. Sec. Latouria,(Blume) Miq.,"la-toor-ee-a (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Species in this section are characterized by large flowers usually white, yellow or green with black or purple markings on the inner surfaces. The sepals and ovary are often covered with hairs. They are epiphytes of sea level to high altitudes in areas of year-round rainfall. Plants can range in size from very small to very large with flowers that also vary in size, although the large flowered species are generally very popular in cultivation.

Species in this section include: **-***D. aberrans (small size), *-**D. alexandrae, *-**D. atroviolaceum, *D. bifalce, *D. convolutum, **-***D. engae, *-**D. eximium, **D. finisterrae,** D. forbesii, *-**D. johnsoniae, *D. macrophyllum,*-** D. polysema,**D. rhodostictum, and *D. spectabile.

*Warm, **Intermediate, ***Cool

The cultural guidelines as presented in the table below are general. For specific cultural guidelines, it is recommended you consult the references listed below.",About 50 species,From the Philippines to Samoa with the center of distribution in Papua New Guinea where about 45 species are found. 
Den. Sec. Lichenastrum,(Brieger) Dockr.,"like-en-AUS-trum (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Plants in this section grow in an are known as the wet tropics at low to moderate altitudes (Sea level to 1200 meters) as epiphytes or sometimes lithophytes. Plants grow on trees and shady rocks in open forests or rainforests. They were originally placed in Section Rhizobium and are closely related to Section Microphytanthe in the Subgenus Athecebium, which identifies Dendrobiums with leaves which have no distinct sheaths at the bases. Species in this section are very small creeping rhizomes forming a dense mat over the surface of the substrate. Leaves are close together with bulbous looking round, oblong or semi-terete fleshy leaves on small short stems. Flowers are tiny and form singly at the base of the leaves. They are in general, slow growing species and difficult to establish.

Derivation: Looks like a star-lichen.

Culture: The culture in the data below are averages. For growing data for specific species, literature, such as Reference 1 & 2, are recommended.", ,"The Section has three species: Den. lichenastrum, Den. prenticei, Den. toressae"
